,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Port Alfred,0,ZA,1564856217,92,-33.59,26.89,13.33,1.34
1,Albany,75,US,1564855962,73,42.65,-73.75,30.0,2.1
2,Busselton,43,AU,1564856218,74,-33.64,115.35,13.33,5.83
3,Cape Town,20,ZA,1564855521,93,-33.93,18.42,14.44,1.0
4,Vestmannaeyjar,75,IS,1564856219,93,63.44,-20.27,12.0,4.6
5,Itarema,0,BR,1564856220,50,-2.92,-39.92,30.89,6.22
6,Hobart,75,AU,1564856154,60,-42.88,147.33,6.0,3.6
7,Poum,20,MK,1564856221,60,41.28,20.71,22.0,1.5
8,Okha,0,RU,1564856080,90,53.59,142.95,12.99,5.57
9,Port Lincoln,100,AU,1564856222,76,-34.72,135.86,12.29,7.17
10,Hasaki,20,JP,1564856223,94,35.73,140.83,26.0,1.5
11,Rexburg,20,US,1564856223,36,43.82,-111.79,28.89,2.1
12,Port Hardy,75,CA,1564856224,93,50.7,-127.42,13.0,2.6
13,Ushuaia,40,AR,1564856225,80,-54.81,-68.31,4.0,13.4
14,Elat,86,CM,1564856225,96,2.91,11.16,20.49,1.88
15,Mahebourg,40,MU,1564856226,68,-20.41,57.7,22.0,4.6
16,Hilo,75,US,1564856227,78,19.71,-155.08,25.0,2.1
17,Blackwater,100,GB,1564856227,68,51.33,-0.78,23.33,3.6
18,Rikitea,67,PF,1564856228,81,-23.12,-134.97,21.79,7.92
19,Zhigansk,22,RU,1564856229,61,66.77,123.37,8.39,0.63
20,Vostok,100,RU,1564856229,81,46.45,135.83,18.59,1.32
21,Zurrieq,0,MT,1564856230,45,35.83,14.47,31.0,4.6
22,Huadian,91,CN,1564856230,94,42.97,126.75,19.79,0.81
23,Atuona,67,PF,1564856231,68,-9.8,-139.03,26.59,8.25
24,Provideniya,98,RU,1564856231,81,64.42,-173.23,5.69,2.33
25,Waycross,40,US,1564856232,48,31.21,-82.35,32.22,2.6
26,Kargopol,100,RU,1564856232,96,61.51,38.95,6.29,3.54
27,Jumla,100,NP,1564856233,94,29.28,82.18,13.09,1.37
28,Pisco,90,PE,1564856233,30,-13.71,-76.2,22.0,2.1
29,Luderitz,0,NA,1564856234,82,-26.65,15.16,13.0,3.1
30,Vetlanda,20,SE,1564856234,93,57.43,15.09,18.0,2.1
31,Jamestown,100,AU,1564856235,82,-33.21,138.6,6.89,3.95
32,Dingle,100,PH,1564856236,93,11.0,122.67,22.99,3.53
33,Lunenburg,65,CA,1564856236,55,44.38,-64.32,29.44,1.34
34,Okhotsk,94,RU,1564856237,94,59.36,143.24,12.49,8.78
35,Ponta Delgada,75,PT,1564856237,83,37.73,-25.67,22.0,5.1
36,Mataura,100,NZ,1564856238,83,-46.19,168.86,2.69,4.65
37,Melfi,20,IT,1564856238,45,41.0,15.66,28.0,7.2
38,Santa Marta,90,CO,1564856203,66,11.24,-74.21,31.0,2.1
39,Milkovo,75,BG,1564856239,61,41.53,24.68,26.0,3.1
40,Rancharia,0,BR,1564856240,39,-22.23,-50.89,19.0,3.1
41,Santa Cruz,10,BR,1564856200,35,-6.22,-36.02,30.79,5.41
